time,price
hour,€/MWh
0,22.51
1,22.03
2,20.12
3,19.22
4,19.04
5,19.32
6,20.73
7,25.05
8,28.71
9,27.78
10,22.44
11,20.34
12,19.95
13,18.3
14,17.02
15,16.02
16,15.18
17,16.74
18,18.53
19,21.75
20,24.14
21,24.74
22,23.84
23,22.99
